Plate name,Plate Code[R1],Plate Code[R2],Well,Contents,TargetGene,TargetGeneNum,Count,Nuc Elongation[R1]_Nuclei,Nuc Intensity[R1]_Reference 1,G0-Phase (%) [Cell cycle][R1]_Reference 1.Reference 2,Nuc/Cell Intensity[R1]_Nuclei,Spacing (MIN)[R1]_Coordination,G1-G2M (%) [Cell cycle][R1]_Reference 1.Reference 2,Intensity (N+C)[R1]_Nuclei,Compactness[R1]_Nuclei,Nuc Intensity CV[R1]_Nuclei,Nuc Intensity[R1]_Reference 2,Neighbor Count (MIN)[R1]_Coordination,IxA (Cell)[R1]_Nuclei,Ki67 granule (%) [ki67-Cyto-granule][R1]_Organelles,Cell Intensity[R1]_Nuclei,Neighbor Count (SOI)[R1]_Coordination,Spacing (SOI)[R1]_Coordination,Neighbor Count (Lune)[R1]_Coordination,Nuc Intensity[R1]_Cells,Normal cell (%) [Enlarged nuclei][R1]_Nuclei,Grappe-like (%) [Grappe-shape][R1]_Nuclei,IxA (Nuc)[R1]_Nuclei,Chord Ratio[R1]_Nuclei,Normal shape (%) [Grappe-shape][R1]_Nuclei,Spacing (Lune)[R1]_Coordination,Nuc Intensity[R1]_Nuclei,S-Phase (%) [Cell cycle][R1]_Reference 1.Reference 2,Spacing (Gabriel)[R1]_Coordination,IxA (N+C)[R1]_Nuclei,Nuc Displacement[R1]_Nuclei,ki67 no granule (%) [ki67-Cyto-granule][R1]_Organelles,Light Flux[R1]_Nuclei,Bigger cell (%) [Enlarged nuclei][R1]_Nuclei,Nuc Area[R1]_Nuclei,Neighbor Count (Gabriel)[R1]_Coordination,Intensity[R1]_Organelles,Nuc 1/(Form Factor)[R1]_Nuclei
Plate_Prest2012_P09_P3,20110438,20110460,L - 03,Paroxetine Hydrochloride ,CHRM4,22,2,-2.5140717511,-2.2370808811,5.9437140147,-2.3760422009,-2.031558103,-3.5698696968,-2.2948265118,0.5518641174,-3.4625604186,0.0618979873,-1.9759955796,-1.9833523212,-0.5127690829,-1.5127598872,0.6163970872,-1.8316608274,1.0791481499,0.0618979873,0.8095774986,-0.5862331697,-2.7064212075,-2.0981258146,0.5862314816,-1.7946088632,-2.9248975158,-0.5409989543,-1.8200441511,-0.1893364854,0.8790238028,0.5127639937,-2.4601842696,-0.8095831611,0.9982966642,0.4441758742,-1.0892771819,0.1750047382
Plate_Prest2012_P01_P1,20110436,20110458,N - 17,Tropicamide ,CHRM4,22,2,-1.361037711,1.8806793327,-0.6586153815,-0.565754645,-1.1450452783,0.3700305103,0.9709095618,0.8464876549,-1.054225027,1.1948610516,1.1684681141,-0.2051334166,2.648619351,1.3692609358,1.4428826121,-1.4023825315,0.6392997047,1.1948610516,-0.4660751561,0.5493143824,0.6201373229,-1.1601690103,-0.5493145536,-1.2774006944,0.0484557282,1.5963598583,-1.3485191589,0.4412715067,-0.6032339349,-2.6486394549,0.1274261921,0.4660645438,1.003428017,1.2177729376,2.1409524681,0.7818437063
Plate_Prest2012_P09_P3,20110438,20110460,F - 10,Metyrapone ,CYP11B1,24,2,-0.1494630044,0.2252086078,-0.7873487039,-0.50666707,-1.226365104,-0.100203083,0.5691002964,-1.0733576812,-0.8129232992,0.5343573163,-0.2204830157,0.7251825558,0.1499307101,0.7310538154,1.0606926636,-0.9742211909,1.0671609119,0.5343573163,0.130393474,-0.4755644613,1.0964089619,0.3506382887,0.475563672,-1.3344207529,-0.045437091,0.6762095978,-1.3987677121,-0.1753144932,0.2572698302,-0.1499388466,0.6496860896,-0.1303950607,1.73381798,1.1987844329,-1.0407223507,-0.822439635
Plate_Prest2012_P13_P4,20110439,20110461,H - 07,Mitotane ,CYP11B1,24,2,1.4300161146,0.4796051568,-0.5526355644,0.7089646956,2.6231661934,0.1577206629,-0.6172494935,-1.7291095526,0.3229036305,0.3947583793,-0.4601172245,2.2470998461,1.4935880528,-1.049207505,-0.0599089514,2.7576147891,-0.7060880946,0.3947583793,0.1033408697,-1.2851125591,0.9443266363,1.6746450377,1.2851138031,1.8485346656,0.2336600995,0.0937801771,1.648419326,1.3952652467,-1.496971715,-1.4936088499,1.9359388977,-0.1033432626,1.0532917948,0.0766615759,1.7002843682,-0.875843141
Plate_Prest2012_P09_P3,20110438,20110460,E - 17,Acitretin ,CYP26A1,27,2,-0.562681896,2.4226435902,-1.4208427278,-1.26263463,-1.6458081136,-0.3865010819,-0.0653371373,-0.7549037694,-2.2541593188,1.5107401108,-0.5883593319,-0.2725513224,-0.2677808629,0.2932751355,2.4701016932,-1.4695382927,2.8557374995,1.5107401108,-0.2231352809,-1.4461551168,-0.0812684422,0.0934477476,1.4461532206,-1.8335496672,-0.9805721901,1.4372356131,-2.1095899227,-0.1798623391,0.0639989484,0.2677783662,-0.4411313436,0.2231377533,1.0524368552,2.8326656002,0.5770314169,-0.801476253
Plate_Prest2012_P05_P2,20110437,20110459,F - 22,Etretinate ,CYP26A1,27,2,0.4004181826,-1.3530267849,1.9902251727,-0.8955272836,3.3103891146,-1.3637878772,-1.5041889941,-0.8088967026,-0.6707852502,-0.8269144201,-0.1806468552,1.3755277644,-0.0182801475,-1.0634659059,-1.3009646828,3.2445870597,-1.4301435762,-0.8269144201,-0.2978284494,-0.0810217366,-0.1280980043,0.8389588957,0.0810196505,2.8486681304,-1.2061017431,-1.1616029929,2.941474804,0.1697465822,-2.1485666698,0.0182817041,0.3309945892,0.2978345953,2.474101751,-0.4828841578,-0.1713797253,-0.1126261271
Plate_Prest2012_P05_P2,20110437,20110459,G - 12,Cyclosporin A ,CYP2C8,30,2,-4.5844919252,-0.8478012566,1.8152320981,-2.0602220483,0.9178478393,-1.6239065982,-2.4271598788,1.2478217034,-2.8679284848,0.6011345838,-1.6458335296,0.8558691495,0.0145193846,-1.5903187353,-0.6949892781,1.3898723375,0.1545751756,0.6011345838,-2.1568483789,3.1611544018,-0.1321188548,-3.3919174196,-3.1610167638,0.5766685456,-2.4703227255,-0.4221274698,0.477307196,-0.470349211,-0.8848953453,-0.0145185918,-0.0884153096,2.157518786,4.9619038177,-0.487973621,-1.1517565382,0.7810600166
Plate_Prest2012_P05_P2,20110437,20110459,D - 06,Mometasone furoate ,CYP2C8,30,2,-3.0242297428,-1.4883032953,1.0727621185,-2.1788045697,0.9421163788,-1.9406962993,-1.4858797759,0.5069812297,-2.1173290751,3.3112556647,-0.2195985525,1.6129563992,0.7357734063,-0.19965764,-0.7342315419,0.9230996474,-0.3719685937,3.3112556647,0.8333117276,1.2217236016,-0.128069519,-1.8247033479,-1.2217252859,0.8201406809,-2.0216918466,1.395902897,0.7377611422,0.2471077542,-0.7428975774,-0.7357678624,-0.362763839,-0.8333049424,4.6925345687,-0.9193813034,0.6571041829,0.1735538425
Plate_Prest2012_P05_P2,20110437,20110459,L - 12,(-)-Emtricitabine ,DCK,35,2,0.4014977172,-1.0380778913,0.6804364782,-0.5851253823,-1.8906764544,-0.3940979035,-0.5783339239,-0.7385923564,-0.1899806034,-0.7065560565,-0.8683203984,-0.9614812778,-1.5117281022,-0.4326932729,1.2552375291,-1.8640259306,1.6215754093,-0.7065560565,0.1789489325,-0.9086218171,-0.130653588,0.7236549543,0.9086184418,-1.9432552599,-0.7219822573,-0.5181431706,-1.908863922,-0.86202873,1.7224245909,1.5117277709,-0.7729484877,-0.1789429432,0.2008059664,1.5732115139,-1.1936046091,-0.6538844421
Plate_Prest2012_P13_P4,20110439,20110461,N - 07,Gemcitabine ,DCK,35,2,-0.6777454757,5.1861630788,-0.9568544621,-2.8235028387,13.8468628875,2.354859602,-3.437682865,0.222491797,-2.694537555,-1.6759280909,1.4991154052,7.0045742761,15.5315968641,-2.0489421808,-1.1411439603,15.1007387045,-0.5522554747,-1.6759280909,-8.0444636824,3.8240490396,0.4340746726,0.4972788951,-3.8240555382,10.8835081954,-3.1482854871,-1.7594339108,9.6646190704,2.4587363914,-10.3284007793,-15.5317446177,2.204493661,8.0444830818,11.9056021556,-1.1731558344,7.345591696,2.0615231954
